hour,frz_height
0,4877.277208320772
1,4864.858571366844
2,4852.439934412917
3,4840.0212974589895
4,4827.602660505062
5,4815.1840235511345
6,4802.765386597206
7,4790.346749643279
8,4777.928112689351
9,4765.509475735424
10,4753.090838781496
11,4740.672201827569
12,4728.253564873641
13,4740.672201827569
14,4753.090838781496
15,4765.509475735424
16,4777.928112689351
17,4790.346749643279
18,4802.765386597206
19,4815.1840235511345
20,4827.602660505062
21,4840.0212974589895
22,4852.439934412917
23,4864.858571366844
